,response,noun,gender,nounclass,predicate1,predicate1English,predicate2,predicate2English,class1,class2,slide_number,condition,assess,age,education,language,region,dialect,enjoyment,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id
13,0.59,scrivania,Female,furniture,vecchio,old,quadrato,square,age,shape,16,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
14,0.49,carota,Female,food,liscio,smooth,verde,green,texture,color,17,AAN,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
15,0.01,formaggio,Female,food,fresco,fresh,grande,big,age,size,18,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
16,0.42,televisore,Female,furniture,morbido,soft,corto,short,texture,size,19,AAN,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
17,0.58,mela,Female,food,vecchio,old,corto,short,age,size,20,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
18,0.5,carota,Female,food,grande,big,fantastico,wonderful,size,quality,21,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
19,0.54,televisore,Female,furniture,lungo,long,marcio,rotten,size,age,22,NAA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
20,1.0,mela,Female,food,liscio,smooth,blu,blue,texture,color,23,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
21,0.0,mela,Female,food,fresco,fresh,grande,big,age,size,24,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
22,0.48,divano,Female,furniture,liscio,smooth,giallo,yellow,texture,color,25,AAN,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
23,0.62,televisore,Female,furniture,duro,hard,marrone,brown,texture,color,26,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
24,0.0,formaggio,Female,food,quadrato,square,nuovo,new,shape,age,27,ANA,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
25,0.49,sedia,Female,furniture,cattivo,bad,liscio,smooth,quality,texture,28,AAN,Yes,22,2,Italiano,Puglia,,2,,Chrome,Windows,1080,1920,2.9821333333333335,5
0,0.52,divano,Female,furniture,cattivo,bad,piccolo,small,quality,size,3,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
1,0.82,scrivania,Female,furniture,rosso,red,morbido,soft,color,texture,4,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
2,0.12,scrivania,Female,furniture,rotondo,round,duro,hard,shape,texture,5,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
3,0.81,carota,Female,food,piccolo,small,polacco,Polish,size,nationality,6,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
4,0.19,banana,Female,food,rosso,red,gigantesco,huge,color,size,7,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
5,0.68,ventilatore,Female,furniture,minuscolo,tiny,cattivo,bad,size,quality,8,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
6,0.74,carota,Female,food,corto,short,giallo,yellow,size,color,9,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
7,0.16,sedia,Female,furniture,polacco,Polish,vecchio,old,nationality,age,10,ANA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
8,0.98,scrivania,Female,furniture,tedesco,German,giallo,yellow,nationality,color,11,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
9,0.15,ventilatore,Female,furniture,fantastico,wonderful,rotondo,round,quality,shape,12,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
10,0.33,carota,Female,food,gigantesco,huge,vecchio,old,size,age,13,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
11,0.13,ventilatore,Female,furniture,marcio,rotten,verde,green,age,color,14,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
12,0.25,televisore,Female,furniture,marcio,rotten,gigantesco,huge,age,size,15,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
13,0.11,mela,Female,food,francese,French,viola,purple,nationality,color,16,ANA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
14,0.93,pomodoro,Female,food,viola,purple,morbido,soft,color,texture,17,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
15,0.89,sedia,Female,furniture,cattivo,bad,duro,hard,quality,texture,18,ANA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
16,0.07,divano,Female,furniture,vecchio,old,fantastico,wonderful,age,quality,19,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
17,0.09,ventilatore,Female,furniture,marcio,rotten,polacco,Polish,age,nationality,20,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
18,0.9,sedia,Female,furniture,giallo,yellow,tedesco,German,color,nationality,21,ANA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
19,0.9,scrivania,Female,furniture,liscio,smooth,marrone,brown,texture,color,22,ANA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
20,0.92,televisore,Female,furniture,nuovo,new,tedesco,German,age,nationality,23,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
21,0.93,divano,Female,furniture,corto,short,polacco,Polish,size,nationality,24,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
22,0.88,carota,Female,food,marcio,rotten,liscio,smooth,age,texture,25,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
23,0.94,banana,Female,food,rotondo,round,fantastico,wonderful,shape,quality,26,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
24,0.03,divano,Female,furniture,piccolo,small,viola,purple,size,color,27,NAA,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
25,0.88,ventilatore,Female,furniture,cattivo,bad,tedesco,German,quality,nationality,28,AAN,Yes,29,2,Italiano,Emilia-Romagna,Piacentino,2,,Chrome,Windows,720,1280,4.27195,6
0,0.56,televisore,Male,furniture,marcio,rotten,rotondo,round,age,shape,3,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
1,0.57,televisore,Male,furniture,piccolo,small,duro,hard,size,texture,4,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
2,0.7,divano,Male,furniture,gigantesco,huge,quadrato,square,size,shape,5,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
3,0.32,sedia,Male,furniture,fantastico,wonderful,viola,purple,quality,color,6,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
4,0.52,ventilatore,Male,furniture,cattivo,bad,francese,French,quality,nationality,7,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
5,0.56,mela,Male,food,liscio,smooth,rotondo,round,texture,shape,8,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
6,0.66,ventilatore,Male,furniture,fresco,fresh,marrone,brown,age,color,9,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
7,0.4,divano,Male,furniture,duro,hard,verde,green,texture,color,10,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
8,0.52,banana,Male,food,cattivo,bad,rotondo,round,quality,shape,11,AAN,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
9,0.52,carota,Male,food,lungo,long,cattivo,bad,size,quality,12,AAN,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
10,0.68,formaggio,Male,food,liscio,smooth,gigantesco,huge,texture,size,13,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
11,0.7,scrivania,Male,furniture,fresco,fresh,morbido,soft,age,texture,14,AAN,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
12,0.54,scrivania,Male,furniture,polacco,Polish,rosso,red,nationality,color,15,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
13,0.68,carota,Male,food,duro,hard,lungo,long,texture,size,16,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
14,0.15,banana,Male,food,francese,French,lungo,long,nationality,size,17,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
15,0.64,carota,Male,food,lungo,long,cattivo,bad,size,quality,18,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
16,0.45,banana,Male,food,cattivo,bad,tedesco,German,quality,nationality,19,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
17,0.54,divano,Male,furniture,verde,green,polacco,Polish,color,nationality,20,AAN,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
18,0.5,divano,Male,furniture,polacco,Polish,corto,short,nationality,size,21,AAN,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
19,0.6,televisore,Male,furniture,viola,purple,cattivo,bad,color,quality,22,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
20,0.61,pomodoro,Male,food,marrone,brown,polacco,Polish,color,nationality,23,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
21,0.74,pomodoro,Male,food,morbido,soft,blu,blue,texture,color,24,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
22,0.71,scrivania,Male,furniture,grande,big,marrone,brown,size,color,25,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
23,0.69,televisore,Male,furniture,piccolo,small,polacco,Polish,size,nationality,26,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
24,0.74,pomodoro,Male,food,minuscolo,tiny,cattivo,bad,size,quality,27,ANA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
25,0.41,televisore,Male,furniture,fresco,fresh,quadrato,square,age,shape,28,NAA,Yes,33,3,ita,Veneto,,0,,Chrome,Windows,1080,1920,4.1132,7
0,0.99,banana,Female,food,morbido,soft,corto,short,texture,size,3,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
1,0.97,sedia,Female,furniture,fantastico,wonderful,quadrato,square,quality,shape,4,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
2,0.97,pomodoro,Female,food,nuovo,new,rosso,red,age,color,5,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
3,0.03,scrivania,Female,furniture,polacco,Polish,verde,green,nationality,color,6,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
4,0.03,pomodoro,Female,food,francese,French,grande,big,nationality,size,7,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
5,0.01,televisore,Female,furniture,blu,blue,grande,big,color,size,8,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
6,0.99,ventilatore,Female,furniture,giallo,yellow,piccolo,small,color,size,9,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
7,0.98,divano,Female,furniture,rotondo,round,marcio,rotten,shape,age,10,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
8,0.01,mela,Female,food,gigantesco,huge,nuovo,new,size,age,11,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
9,0.99,ventilatore,Female,furniture,marcio,rotten,marrone,brown,age,color,12,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
10,0.96,ventilatore,Female,furniture,nuovo,new,verde,green,age,color,13,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
11,0.98,mela,Female,food,grande,big,fresco,fresh,size,age,14,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
12,0.97,scrivania,Female,furniture,fantastico,wonderful,grande,big,quality,size,15,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
13,0.96,mela,Female,food,francese,French,morbido,soft,nationality,texture,16,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
14,0.97,formaggio,Female,food,liscio,smooth,minuscolo,tiny,texture,size,17,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
15,0.97,carota,Female,food,vecchio,old,blu,blue,age,color,18,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
16,0.96,divano,Female,furniture,nuovo,new,lungo,long,age,size,19,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
17,0.99,ventilatore,Female,furniture,duro,hard,viola,purple,texture,color,20,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
18,0.98,pomodoro,Female,food,rosso,red,gigantesco,huge,color,size,21,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
19,0.0,banana,Female,food,polacco,Polish,fantastico,wonderful,nationality,quality,22,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
20,0.98,divano,Female,furniture,quadrato,square,fresco,fresh,shape,age,23,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
21,0.98,sedia,Female,furniture,nuovo,new,corto,short,age,size,24,AAN,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
22,0.03,scrivania,Female,furniture,piccolo,small,verde,green,size,color,25,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
23,0.03,pomodoro,Female,food,morbido,soft,grande,big,texture,size,26,NAA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
24,0.98,banana,Female,food,verde,green,quadrato,square,color,shape,27,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
25,0.97,banana,Female,food,gigantesco,huge,rosso,red,size,color,28,ANA,Yes,43,3,italiano,toscana,,2,,Chrome,Windows,768,1366,4.14385,8
0,1.0,banana,Male,food,minuscolo,tiny,fresco,fresh,size,age,3,AAN,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
1,1.0,carota,Male,food,corto,short,viola,purple,size,color,4,AAN,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
2,0.0,televisore,Male,furniture,rosso,red,lungo,long,color,size,5,ANA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
3,0.72,formaggio,Male,food,grande,big,tedesco,German,size,nationality,6,NAA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
4,0.19,pomodoro,Male,food,verde,green,liscio,smooth,color,texture,7,ANA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
5,0.32,carota,Male,food,piccolo,small,vecchio,old,size,age,8,NAA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
6,0.24,pomodoro,Male,food,fantastico,wonderful,duro,hard,quality,texture,9,NAA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
7,0.84,divano,Male,furniture,lungo,long,duro,hard,size,texture,10,NAA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
8,0.75,banana,Male,food,viola,purple,corto,short,color,size,11,AAN,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
9,0.83,ventilatore,Male,furniture,quadrato,square,blu,blue,shape,color,12,ANA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
10,0.83,televisore,Male,furniture,cattivo,bad,liscio,smooth,quality,texture,13,AAN,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
11,1.0,mela,Male,food,gigantesco,huge,polacco,Polish,size,nationality,14,ANA,Yes,22,2,Italiano,Calabria,calabrese,2,,Chrome,Windows,864,1536,2.4077333333333333,9
