predicate1,workerid,class1,response,Answer.time_in_minutes,noun,nounclass,class2,predicate2,slide_number
red,6,color,1,4.8647833333333335,chair,furniture,age,rotten,10
hard,6,texture,0,4.8647833333333335,chair,furniture,size,long,11
red,6,color,1,4.8647833333333335,couch,furniture,size,huge,12
square,6,shape,0.59,4.8647833333333335,chair,furniture,color,blue,13
red,6,color,1,4.8647833333333335,carrot,food,material,plastic,14
wooden,6,material,0,4.8647833333333335,carrot,food,color,blue,15
big,6,size,1,4.8647833333333335,chair,furniture,shape,round,16
big,6,size,0,4.8647833333333335,fan,furniture,age,old,17
purple,6,color,0,4.8647833333333335,cheese,food,size,big,18
red,6,color,1,4.8647833333333335,chair,furniture,age,new,19
red,6,color,0,4.8647833333333335,carrot,food,size,long,20
new,6,age,1,4.8647833333333335,banana,food,material,metal,21
square,6,shape,1,4.8647833333333335,apple,food,size,tiny,22
green,6,color,1,4.8647833333333335,desk,furniture,age,rotten,23
long,6,size,1,4.8647833333333335,fan,furniture,material,metal,24
bad,6,quality,0.72,4.8647833333333335,fan,furniture,color,brown,25
new,6,age,0,4.8647833333333335,chair,furniture,size,small,26
bad,6,quality,0,4.8647833333333335,chair,furniture,color,blue,27
big,6,size,0.23,4.8647833333333335,chair,furniture,color,green,28
square,7,shape,0.15,4.374516666666667,banana,food,material,metal,3
bad,7,quality,0.1,4.374516666666667,TV,furniture,texture,hard,4
huge,7,size,0.85,4.374516666666667,cheese,food,color,yellow,5
metal,7,material,0.19,4.374516666666667,couch,furniture,shape,round,6
huge,7,size,0.97,4.374516666666667,carrot,food,quality,bad,7
yellow,7,color,0.82,4.374516666666667,fan,furniture,size,small,8
soft,7,texture,0.82,4.374516666666667,fan,furniture,size,short,9
rotten,7,age,0.2,4.374516666666667,carrot,food,size,tiny,10
smooth,7,texture,0.27,4.374516666666667,tomato,food,age,old,11
rotten,7,age,0.89,4.374516666666667,desk,furniture,size,huge,12
green,7,color,0.39,4.374516666666667,cheese,food,size,huge,13
hard,7,texture,0.7,4.374516666666667,cheese,food,shape,square,14
green,7,color,0.25,4.374516666666667,desk,furniture,material,plastic,15
old,7,age,0.83,4.374516666666667,chair,furniture,material,metal,16
long,7,size,0.83,4.374516666666667,fan,furniture,color,brown,17
small,7,size,0.1,4.374516666666667,fan,furniture,texture,smooth,18
soft,7,texture,0.7,4.374516666666667,tomato,food,color,green,19
wooden,7,material,0.76,4.374516666666667,tomato,food,age,old,20
small,7,size,0.8,4.374516666666667,desk,furniture,material,metal,21
fresh,7,age,0.19,4.374516666666667,desk,furniture,material,metal,22
small,7,size,0.84,4.374516666666667,TV,furniture,texture,smooth,23
good,7,quality,0.86,4.374516666666667,banana,food,color,brown,24
soft,7,texture,0.78,4.374516666666667,fan,furniture,color,green,25
tiny,7,size,0.2,4.374516666666667,carrot,food,shape,round,26
brown,7,color,0.77,4.374516666666667,TV,furniture,size,long,27
square,7,shape,0.79,4.374516666666667,fan,furniture,color,brown,28
huge,8,size,0.94,3.4998666666666667,TV,furniture,texture,smooth,3
purple,8,color,0.9,3.4998666666666667,desk,furniture,age,new,4
metal,8,material,0,3.4998666666666667,chair,furniture,size,big,5
bad,8,quality,0.87,3.4998666666666667,chair,furniture,age,new,6
soft,8,texture,0.75,3.4998666666666667,TV,furniture,quality,bad,7
tiny,8,size,0.75,3.4998666666666667,carrot,food,age,old,8
smooth,8,texture,0.67,3.4998666666666667,cheese,food,size,huge,9
plastic,8,material,0.8,3.4998666666666667,cheese,food,color,blue,10
small,8,size,0.73,3.4998666666666667,cheese,food,age,new,11
yellow,8,color,0.71,3.4998666666666667,fan,furniture,texture,hard,12
soft,8,texture,0.77,3.4998666666666667,cheese,food,size,small,13
old,8,age,0.32,3.4998666666666667,TV,furniture,color,red,14
fresh,8,age,0.68,3.4998666666666667,desk,furniture,size,huge,15
blue,8,color,0.92,3.4998666666666667,banana,food,texture,soft,16
red,8,color,0.77,3.4998666666666667,couch,furniture,size,tiny,17
round,8,shape,0.69,3.4998666666666667,TV,furniture,age,rotten,18
green,8,color,0.76,3.4998666666666667,banana,food,size,short,19
hard,8,texture,0.21,3.4998666666666667,chair,furniture,shape,round,20
soft,8,texture,0.79,3.4998666666666667,TV,furniture,color,brown,21
rotten,8,age,0.23,3.4998666666666667,apple,food,material,wooden,22
smooth,8,texture,0.27,3.4998666666666667,TV,furniture,size,big,23
good,8,quality,0.29,3.4998666666666667,banana,food,texture,hard,24
tiny,8,size,0.78,3.4998666666666667,apple,food,age,fresh,25
yellow,8,color,0.78,3.4998666666666667,banana,food,quality,bad,26
bad,8,quality,0.28,3.4998666666666667,tomato,food,age,fresh,27
hard,8,texture,0.27,3.4998666666666667,TV,furniture,age,rotten,28
square,9,shape,0.1,2.0553833333333333,TV,furniture,color,yellow,3
plastic,9,material,0,2.0553833333333333,banana,food,texture,smooth,4
huge,9,size,1,2.0553833333333333,fan,furniture,quality,good,5
smooth,9,texture,0.82,2.0553833333333333,TV,furniture,material,metal,6
old,9,age,0.88,2.0553833333333333,TV,furniture,material,plastic,7
purple,9,color,0.12,2.0553833333333333,TV,furniture,quality,good,8
small,9,size,0.89,2.0553833333333333,cheese,food,quality,bad,9
hard,9,texture,1,2.0553833333333333,cheese,food,color,yellow,10
metal,9,material,0,2.0553833333333333,tomato,food,color,green,11
good,9,quality,0.73,2.0553833333333333,carrot,food,color,purple,12
green,9,color,0.14,2.0553833333333333,desk,furniture,texture,soft,13
plastic,9,material,0,2.0553833333333333,banana,food,size,big,14
new,9,age,0,2.0553833333333333,chair,furniture,size,long,15
smooth,9,texture,0.13,2.0553833333333333,TV,furniture,material,metal,16
new,9,age,0,2.0553833333333333,couch,furniture,texture,soft,17
old,9,age,0.2,2.0553833333333333,TV,furniture,size,small,18
soft,9,texture,0,2.0553833333333333,chair,furniture,size,short,19
brown,9,color,0,2.0553833333333333,banana,food,quality,good,20
brown,9,color,0.89,2.0553833333333333,fan,furniture,age,rotten,21
square,9,shape,0.28,2.0553833333333333,desk,furniture,material,metal,22
fresh,9,age,0.06,2.0553833333333333,fan,furniture,color,blue,23
soft,9,texture,0,2.0553833333333333,tomato,food,shape,round,24
plastic,9,material,0,2.0553833333333333,couch,furniture,color,blue,25
round,9,shape,0.09,2.0553833333333333,TV,furniture,texture,hard,26
green,9,color,0,2.0553833333333333,TV,furniture,size,long,27
metal,9,material,0,2.0553833333333333,couch,furniture,size,small,28
wooden,10,material,0.05,3.868716666666667,TV,furniture,texture,soft,3
metal,10,material,0.97,3.868716666666667,banana,food,age,fresh,4
red,10,color,0.04,3.868716666666667,fan,furniture,size,big,5
soft,10,texture,0.96,3.868716666666667,tomato,food,material,plastic,6
good,10,quality,0.99,3.868716666666667,chair,furniture,shape,round,7
long,10,size,0.97,3.868716666666667,cheese,food,color,green,8
short,10,size,1,3.868716666666667,couch,furniture,texture,hard,9
tiny,10,size,0.07,3.868716666666667,cheese,food,age,rotten,10
new,10,age,0.99,3.868716666666667,apple,food,color,yellow,11
old,10,age,0.97,3.868716666666667,tomato,food,color,red,12
rotten,10,age,0.07,3.868716666666667,couch,furniture,quality,good,13
plastic,10,material,0.99,3.868716666666667,tomato,food,age,fresh,14
smooth,10,texture,1,3.868716666666667,fan,furniture,shape,square,15
rotten,10,age,0.04,3.868716666666667,tomato,food,shape,square,16
new,10,age,0.03,3.868716666666667,desk,furniture,quality,good,17
red,10,color,0.94,3.868716666666667,fan,furniture,age,rotten,18
yellow,10,color,0.98,3.868716666666667,banana,food,age,rotten,19
blue,10,color,0.97,3.868716666666667,fan,furniture,texture,smooth,20
old,10,age,0.97,3.868716666666667,carrot,food,material,plastic,21
blue,10,color,0.92,3.868716666666667,carrot,food,material,plastic,22
smooth,10,texture,0.99,3.868716666666667,couch,furniture,material,metal,23
metal,10,material,0.05,3.868716666666667,TV,furniture,color,brown,24
tiny,10,size,0.94,3.868716666666667,tomato,food,texture,soft,25
long,10,size,0.97,3.868716666666667,couch,furniture,shape,round,26
new,10,age,0.07,3.868716666666667,chair,furniture,shape,round,27
square,10,shape,0.97,3.868716666666667,fan,furniture,texture,soft,28
fresh,11,age,0.64,8.341633333333334,desk,furniture,size,big,3
long,11,size,0.65,8.341633333333334,chair,furniture,color,green,4
plastic,11,material,0.73,8.341633333333334,banana,food,color,red,5
brown,11,color,0.25,8.341633333333334,banana,food,age,fresh,6
blue,11,color,0.2,8.341633333333334,chair,furniture,material,wooden,7
metal,11,material,0.26,8.341633333333334,cheese,food,color,red,8
brown,11,color,0.73,8.341633333333334,couch,furniture,size,short,9
blue,11,color,0.78,8.341633333333334,tomato,food,size,tiny,10
new,11,age,0.1,8.341633333333334,cheese,food,color,brown,11
good,11,quality,0.02,8.341633333333334,carrot,food,material,plastic,12
short,11,size,0.43,8.341633333333334,couch,furniture,color,red,13
new,11,age,0.2,8.341633333333334,apple,food,size,huge,14
huge,11,size,0.54,8.341633333333334,cheese,food,texture,soft,15
blue,11,color,0.5,8.341633333333334,chair,furniture,size,small,16
blue,11,color,0.46,8.341633333333334,carrot,food,shape,round,17
tiny,11,size,0.47,8.341633333333334,tomato,food,texture,smooth,18
huge,11,size,0.68,8.341633333333334,fan,furniture,shape,round,19
square,11,shape,0.19,8.341633333333334,apple,food,material,wooden,20
hard,11,texture,0.81,8.341633333333334,TV,furniture,shape,round,21
red,11,color,0.7,8.341633333333334,desk,furniture,material,plastic,22
old,11,age,0.26,8.341633333333334,banana,food,color,brown,23
yellow,11,color,0.4,8.341633333333334,cheese,food,shape,square,24
brown,11,color,0.5,8.341633333333334,TV,furniture,quality,good,25
purple,11,color,0.67,8.341633333333334,TV,furniture,size,huge,26
huge,11,size,0.68,8.341633333333334,desk,furniture,shape,square,27
brown,11,color,0.51,8.341633333333334,apple,food,size,small,28
plastic,12,material,0.28,5.82525,TV,furniture,quality,good,3
short,12,size,0.78,5.82525,TV,furniture,material,plastic,4
green,12,color,0.22,5.82525,tomato,food,texture,soft,5
round,12,shape,0.12,5.82525,TV,furniture,size,big,6
new,12,age,0.69,5.82525,cheese,food,quality,good,7
round,12,shape,0.19,5.82525,apple,food,age,new,8
fresh,12,age,0.51,5.82525,fan,furniture,quality,bad,9
new,12,age,0.69,5.82525,fan,furniture,size,big,10
good,12,quality,0.72,5.82525,couch,furniture,size,big,11
good,12,quality,0.84,5.82525,couch,furniture,material,metal,12
short,12,size,0.75,5.82525,cheese,food,quality,bad,13
long,12,size,0.91,5.82525,carrot,food,material,plastic,14
tiny,12,size,0.2,5.82525,cheese,food,age,old,15
new,12,age,0.63,5.82525,tomato,food,quality,bad,16
huge,12,size,0.6,5.82525,TV,furniture,shape,round,17
yellow,12,color,0.06,5.82525,apple,food,size,small,18
hard,12,texture,0.06,5.82525,carrot,food,size,long,19
brown,12,color,0.87,5.82525,apple,food,material,metal,20
soft,12,texture,0.78,5.82525,TV,furniture,color,red,21
fresh,12,age,0.96,5.82525,desk,furniture,color,yellow,22
tiny,12,size,0.04,5.82525,desk,furniture,age,new,23
huge,12,size,0.69,5.82525,TV,furniture,shape,round,24
small,12,size,0.78,5.82525,chair,furniture,color,green,25
yellow,12,color,0.03,5.82525,apple,food,size,small,26
round,12,shape,0.06,5.82525,TV,furniture,texture,soft,27
green,12,color,0.15,5.82525,desk,furniture,size,huge,28
soft,13,texture,0.8,3.1484666666666667,cheese,food,size,small,3
wooden,13,material,0.78,3.1484666666666667,desk,furniture,shape,square,4
soft,13,texture,0.83,3.1484666666666667,chair,furniture,shape,round,5
brown,13,color,0.33,3.1484666666666667,apple,food,quality,good,6
new,13,age,0.29,3.1484666666666667,apple,food,shape,square,7
good,13,quality,0.83,3.1484666666666667,desk,furniture,material,plastic,8
tiny,13,size,0.22,3.1484666666666667,carrot,food,texture,hard,9
round,13,shape,0.21,3.1484666666666667,carrot,food,size,small,10
new,13,age,0.76,3.1484666666666667,fan,furniture,material,metal,11
good,13,quality,0.71,3.1484666666666667,banana,food,shape,square,12
brown,13,color,0.31,3.1484666666666667,apple,food,age,rotten,13
green,13,color,0.69,3.1484666666666667,fan,furniture,material,plastic,14
yellow,13,color,0.26,3.1484666666666667,TV,furniture,material,metal,15
hard,13,texture,0.72,3.1484666666666667,tomato,food,quality,good,16
square,13,shape,0.3,3.1484666666666667,banana,food,size,short,17
fresh,13,age,0.71,3.1484666666666667,tomato,food,material,wooden,18
small,13,size,0.73,3.1484666666666667,chair,furniture,color,purple,19
wooden,13,material,0.69,3.1484666666666667,desk,furniture,quality,good,20
brown,13,color,0.76,3.1484666666666667,carrot,food,material,plastic,21
square,13,shape,0.82,3.1484666666666667,desk,furniture,quality,bad,22
blue,13,color,0.78,3.1484666666666667,couch,furniture,material,metal,23
small,13,size,0.54,3.1484666666666667,banana,food,color,red,24
new,13,age,0.72,3.1484666666666667,apple,food,color,purple,25
new,13,age,0.76,3.1484666666666667,desk,furniture,color,purple,26
new,13,age,0.75,3.1484666666666667,banana,food,color,yellow,27
blue,13,color,0.8,3.1484666666666667,desk,furniture,texture,soft,28
bad,14,quality,0.71,2.1933666666666665,banana,food,shape,round,3
smooth,14,texture,0.76,2.1933666666666665,TV,furniture,color,yellow,4
new,14,age,0.42,2.1933666666666665,desk,furniture,shape,round,5
blue,14,color,0.49,2.1933666666666665,cheese,food,size,tiny,6
bad,14,quality,0.52,2.1933666666666665,chair,furniture,texture,hard,7
soft,14,texture,0.72,2.1933666666666665,fan,furniture,color,brown,8
new,14,age,0.74,2.1933666666666665,banana,food,shape,round,9
wooden,14,material,0.54,2.1933666666666665,cheese,food,color,purple,10
tiny,14,size,0.63,2.1933666666666665,couch,furniture,age,rotten,11
purple,14,color,0.24,2.1933666666666665,chair,furniture,quality,good,12
wooden,14,material,0.8,2.1933666666666665,chair,furniture,quality,bad,13
blue,14,color,0.53,2.1933666666666665,cheese,food,size,small,14
small,14,size,0.59,2.1933666666666665,tomato,food,age,rotten,15
fresh,14,age,0.84,2.1933666666666665,carrot,food,shape,square,16
small,14,size,0.82,2.1933666666666665,couch,furniture,texture,hard,17
purple,14,color,0.81,2.1933666666666665,banana,food,size,small,18
purple,14,color,0.64,2.1933666666666665,tomato,food,age,new,19
round,14,shape,0.37,2.1933666666666665,cheese,food,age,fresh,20
huge,14,size,0.59,2.1933666666666665,chair,furniture,texture,hard,21
red,14,color,0.5,2.1933666666666665,banana,food,material,wooden,22
blue,14,color,0.49,2.1933666666666665,carrot,food,size,long,23
hard,14,texture,0.62,2.1933666666666665,apple,food,size,long,24
new,14,age,0.75,2.1933666666666665,carrot,food,shape,square,25
short,14,size,0.81,2.1933666666666665,couch,furniture,texture,smooth,26
square,14,shape,0.97,2.1933666666666665,chair,furniture,age,rotten,27
brown,14,color,0.48,2.1933666666666665,chair,furniture,texture,hard,28
huge,15,size,0.98,1.9749666666666668,desk,furniture,material,plastic,3
red,15,color,0.94,1.9749666666666668,cheese,food,quality,good,4
blue,15,color,0.93,1.9749666666666668,tomato,food,shape,round,5
good,15,quality,0.05,1.9749666666666668,TV,furniture,age,old,6
purple,15,color,0.02,1.9749666666666668,tomato,food,size,short,7
round,15,shape,0.04,1.9749666666666668,apple,food,size,small,8
short,15,size,0.89,1.9749666666666668,desk,furniture,shape,round,9
long,15,size,0.61,1.9749666666666668,desk,furniture,shape,round,10
old,15,age,0.19,1.9749666666666668,cheese,food,color,green,11
brown,15,color,0.25,1.9749666666666668,banana,food,age,new,12
bad,15,quality,0.9,1.9749666666666668,fan,furniture,color,yellow,13
long,15,size,0.75,1.9749666666666668,cheese,food,shape,round,14
rotten,15,age,0.33,1.9749666666666668,tomato,food,material,wooden,15
plastic,15,material,0.05,1.9749666666666668,tomato,food,size,big,16
brown,15,color,0.05,1.9749666666666668,tomato,food,age,old,17
red,15,color,0.12,1.9749666666666668,fan,furniture,age,rotten,18
small,15,size,0.93,1.9749666666666668,couch,furniture,age,fresh,19
big,15,size,0.03,1.9749666666666668,fan,furniture,texture,hard,20
smooth,15,texture,0.14,1.9749666666666668,TV,furniture,size,big,21
round,15,shape,0.02,1.9749666666666668,fan,furniture,color,brown,22
old,15,age,0.06,1.9749666666666668,chair,furniture,texture,soft,23
smooth,15,texture,0.89,1.9749666666666668,apple,food,size,small,24
new,15,age,0.06,1.9749666666666668,carrot,food,color,purple,25
soft,15,texture,0.05,1.9749666666666668,fan,furniture,color,purple,26
smooth,15,texture,0.92,1.9749666666666668,fan,furniture,size,big,27
short,15,size,0.09,1.9749666666666668,fan,furniture,color,green,28
new,16,age,1,2.7931833333333334,banana,food,color,purple,3
soft,16,texture,1,2.7931833333333334,chair,furniture,age,new,4
long,16,size,0,2.7931833333333334,banana,food,color,green,5
purple,16,color,0,2.7931833333333334,desk,furniture,material,wooden,6
bad,16,quality,0,2.7931833333333334,desk,furniture,size,small,7
green,16,color,0,2.7931833333333334,couch,furniture,age,new,8
wooden,16,material,0.05,2.7931833333333334,fan,furniture,quality,bad,9
smooth,16,texture,0,2.7931833333333334,banana,food,material,plastic,10
brown,16,color,1,2.7931833333333334,carrot,food,age,fresh,11
long,16,size,0,2.7931833333333334,carrot,food,color,green,12
tiny,16,size,0,2.7931833333333334,fan,furniture,color,green,13
metal,16,material,0,2.7931833333333334,couch,furniture,size,huge,14
big,16,size,1,2.7931833333333334,desk,furniture,color,green,15
metal,16,material,0,2.7931833333333334,couch,furniture,color,purple,16
wooden,16,material,0,2.7931833333333334,couch,furniture,texture,smooth,17
green,16,color,1,2.7931833333333334,chair,furniture,quality,bad,18
rotten,16,age,1,2.7931833333333334,tomato,food,color,brown,19
yellow,16,color,0,2.7931833333333334,carrot,food,material,metal,20
short,16,size,1,2.7931833333333334,cheese,food,color,purple,21
