,class,firstutterance,noun,nounclass,predicate,response,slide_number,language,age,gender,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
15,texture,positive,apple,food,hard,0.27,18,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
16,nationality,positive,desk,furniture,French,0.95,19,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
17,age,positive,fan,furniture,new,0.15,20,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
18,color,negative,fan,furniture,green,1.0,21,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
19,size,negative,TV,furniture,huge,0.13,22,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
20,color,positive,cheese,food,purple,0.99,23,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
21,age,negative,fan,furniture,old,0.16,24,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
22,quality,negative,cheese,food,good,0.09,25,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
23,color,positive,couch,furniture,yellow,0.9,26,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
24,nationality,negative,cheese,food,Spanish,1.0,27,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
25,age,negative,tomato,food,rotten,0.68,28,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
26,pattern,positive,fan,furniture,checkered,0.71,29,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
27,pattern,positive,couch,furniture,striped,0.69,30,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
28,pattern,positive,banana,food,dotted,0.92,31,עברית,22,Female,Chrome,Windows,720,1280,12.340366666666666,2,Yes
0,texture,negative,TV,furniture,smooth,0.86,3,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
1,quality,negative,chair,furniture,good,0.12,4,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
2,color,positive,apple,food,red,0.86,5,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
3,size,negative,TV,furniture,short,0.45,6,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
4,color,positive,carrot,food,purple,0.63,7,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
5,size,positive,TV,furniture,huge,0.35,8,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
6,shape,positive,couch,furniture,round,0.73,9,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
7,nationality,negative,cheese,food,American,1.0,10,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
8,nationality,negative,carrot,food,French,1.0,11,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
9,size,positive,chair,furniture,big,0.0,12,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
10,age,positive,TV,furniture,fresh,0.47,13,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
11,shape,positive,cheese,food,square,0.9,14,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
12,nationality,negative,tomato,food,Spanish,1.0,15,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
13,quality,negative,TV,furniture,bad,0.0,16,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
14,size,negative,banana,food,long,0.18,17,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
15,age,positive,chair,furniture,old,0.27,18,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
16,texture,positive,apple,food,hard,0.58,19,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
17,color,negative,fan,furniture,brown,0.76,20,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
18,age,positive,apple,food,new,0.44,21,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
19,color,negative,couch,furniture,green,0.37,22,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
20,size,negative,apple,food,tiny,0.46,23,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
21,age,positive,fan,furniture,rotten,0.49,24,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
22,size,negative,couch,furniture,small,0.11,25,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
23,color,positive,desk,furniture,blue,0.4,26,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
24,color,positive,cheese,food,yellow,0.97,27,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
25,texture,negative,carrot,food,soft,0.72,28,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
26,pattern,negative,TV,furniture,dotted,0.71,29,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
27,pattern,positive,cheese,food,striped,0.88,30,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
28,pattern,positive,cheese,food,checkered,0.86,31,עברית,28,Female,Chrome,Windows,720,1280,36.85738333333333,3,Yes
0,age,negative,TV,furniture,rotten,1.0,3,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
1,quality,positive,carrot,food,good,0.99,4,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
2,quality,positive,cheese,food,bad,0.0,5,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
3,texture,negative,TV,furniture,soft,0.0,6,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
4,texture,positive,couch,furniture,hard,0.02,7,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
5,nationality,negative,couch,furniture,American,0.96,8,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
6,size,negative,desk,furniture,tiny,0.0,9,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
7,size,positive,couch,furniture,big,0.04,10,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
8,size,negative,tomato,food,long,0.01,11,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
9,nationality,positive,chair,furniture,French,0.96,12,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
10,texture,negative,chair,furniture,smooth,0.25,13,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
11,color,negative,chair,furniture,purple,0.97,14,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
12,size,negative,TV,furniture,huge,0.0,15,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
13,nationality,positive,fan,furniture,Spanish,0.98,16,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
14,size,positive,tomato,food,small,0.02,17,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
15,shape,positive,desk,furniture,square,0.98,18,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
16,shape,negative,tomato,food,round,0.96,19,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
17,age,negative,chair,furniture,old,0.53,20,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
18,color,negative,tomato,food,blue,0.95,21,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
19,color,negative,banana,food,brown,0.96,22,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
20,color,positive,tomato,food,green,0.98,23,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
21,color,positive,banana,food,yellow,0.94,24,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
22,age,negative,TV,furniture,new,0.78,25,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
23,size,negative,desk,furniture,short,0.97,26,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
24,age,negative,banana,food,fresh,0.94,27,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
25,color,positive,desk,furniture,red,0.95,28,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
26,pattern,positive,carrot,food,checkered,0.95,29,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
27,pattern,positive,couch,furniture,dotted,0.94,30,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
28,pattern,positive,fan,furniture,striped,0.97,31,עברית,23,Female,Chrome,Windows,720,1280,3.9971,4,Yes
0,nationality,positive,banana,food,French,1.0,3,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
1,color,positive,carrot,food,green,0.88,4,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
2,texture,negative,chair,furniture,smooth,0.89,5,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
3,quality,negative,desk,furniture,bad,0.0,6,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
4,nationality,negative,chair,furniture,Spanish,1.0,7,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
5,age,positive,chair,furniture,rotten,1.0,8,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
6,color,positive,banana,food,blue,0.86,9,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
7,size,negative,fan,furniture,long,0.15,10,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
8,size,negative,fan,furniture,big,0.11,11,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
9,size,positive,fan,furniture,huge,0.09,12,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
10,size,positive,cheese,food,small,0.12,13,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
11,age,negative,cheese,food,fresh,0.77,14,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
12,age,negative,TV,furniture,old,0.38,15,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
13,quality,positive,fan,furniture,good,0.18,16,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
14,texture,negative,apple,food,soft,0.69,17,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
15,texture,negative,apple,food,hard,0.69,18,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
16,color,positive,TV,furniture,yellow,0.93,19,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
17,nationality,positive,carrot,food,American,1.0,20,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
18,color,negative,tomato,food,brown,0.82,21,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
19,shape,positive,chair,furniture,round,1.0,22,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
20,age,negative,TV,furniture,new,0.26,23,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
21,size,positive,TV,furniture,short,0.36,24,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
22,shape,negative,couch,furniture,square,0.91,25,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
23,color,positive,TV,furniture,red,0.89,26,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
24,color,positive,couch,furniture,purple,0.92,27,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
25,size,negative,TV,furniture,tiny,0.1,28,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
26,pattern,positive,chair,furniture,striped,1.0,29,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
27,pattern,negative,TV,furniture,checkered,1.0,30,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
28,pattern,positive,carrot,food,dotted,1.0,31,עברית אנגלית,24,Male,Chrome,Windows,720,1280,47.99478333333333,5,Yes
0,color,negative,apple,food,yellow,0.37,3,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
1,size,negative,carrot,food,big,0.21,4,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
2,age,positive,fan,furniture,rotten,0.75,5,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
3,size,positive,TV,furniture,huge,0.02,6,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
4,color,negative,desk,furniture,purple,0.47,7,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
5,size,positive,tomato,food,short,0.0,8,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
6,age,negative,desk,furniture,old,0.45,9,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
7,color,positive,banana,food,green,0.9,10,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
8,age,negative,cheese,food,new,0.9,11,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
9,size,negative,desk,furniture,tiny,0.26,12,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
10,size,negative,apple,food,long,0.02,13,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
11,texture,negative,chair,furniture,hard,0.38,14,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
12,nationality,negative,TV,furniture,French,0.98,15,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
13,texture,negative,couch,furniture,soft,0.38,16,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
14,nationality,positive,fan,furniture,American,0.95,17,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
15,color,positive,apple,food,blue,0.4,18,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
16,quality,positive,banana,food,good,0.22,19,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
17,color,positive,TV,furniture,red,0.97,20,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
18,quality,negative,banana,food,bad,0.09,21,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
19,texture,positive,banana,food,smooth,0.32,22,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
20,shape,positive,tomato,food,square,0.98,23,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
21,color,positive,TV,furniture,brown,0.69,24,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
22,nationality,negative,tomato,food,Spanish,0.99,25,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
23,size,positive,tomato,food,small,0.46,26,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
24,shape,negative,TV,furniture,round,0.76,27,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
25,age,positive,desk,furniture,fresh,0.03,28,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
26,pattern,negative,tomato,food,dotted,0.9,29,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
27,pattern,negative,desk,furniture,checkered,0.99,30,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
28,pattern,negative,carrot,food,striped,0.74,31,עברית,37,Male,Chrome,Windows,720,1280,36.58793333333333,6,Yes
0,age,positive,tomato,food,fresh,0.5,3,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
1,color,positive,cheese,food,green,1.0,4,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
2,shape,negative,TV,furniture,round,1.0,5,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
3,size,positive,banana,food,huge,0.0,6,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
4,size,positive,apple,food,short,0.05,7,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
5,texture,positive,chair,furniture,smooth,0.38,8,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
6,size,positive,fan,furniture,big,0.59,9,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
7,color,positive,banana,food,brown,0.84,10,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
8,nationality,positive,couch,furniture,French,0.97,11,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
9,color,positive,banana,food,blue,1.0,12,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
10,age,positive,couch,furniture,old,0.24,13,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
11,age,positive,TV,furniture,rotten,1.0,14,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
12,color,negative,desk,furniture,yellow,0.8,15,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
13,nationality,positive,banana,food,American,1.0,16,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
14,color,negative,cheese,food,purple,0.39,17,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
15,quality,positive,fan,furniture,bad,0.0,18,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
16,size,positive,chair,furniture,long,0.52,19,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
17,quality,positive,cheese,food,good,0.0,20,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
18,nationality,positive,tomato,food,Spanish,1.0,21,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
19,texture,positive,tomato,food,hard,0.32,22,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
20,size,positive,tomato,food,tiny,0.26,23,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
21,texture,positive,couch,furniture,soft,0.04,24,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
22,color,negative,fan,furniture,red,1.0,25,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
23,shape,negative,fan,furniture,square,1.0,26,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
24,size,positive,tomato,food,small,0.22,27,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
25,age,negative,chair,furniture,new,0.51,28,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
26,pattern,negative,tomato,food,dotted,1.0,29,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
27,pattern,negative,tomato,food,checkered,1.0,30,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
28,pattern,positive,couch,furniture,striped,1.0,31,עברית,24,Male,Chrome,Windows,720,1280,21.012916666666666,7,Yes
0,nationality,positive,chair,furniture,French,0.94,3,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
1,nationality,positive,desk,furniture,American,0.97,4,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
2,size,negative,chair,furniture,big,0.96,5,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
3,size,positive,apple,food,long,0.97,6,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
4,texture,negative,TV,furniture,soft,0.96,7,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
5,color,positive,cheese,food,green,0.95,8,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
6,size,negative,banana,food,small,0.78,9,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
7,age,negative,apple,food,new,0.02,10,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
8,nationality,positive,carrot,food,Spanish,0.46,11,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
9,age,positive,carrot,food,old,0.04,12,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
10,quality,positive,apple,food,good,0.16,13,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
11,size,negative,couch,furniture,huge,0.31,14,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
12,quality,positive,tomato,food,bad,0.03,15,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
13,color,negative,chair,furniture,yellow,0.99,16,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
14,size,positive,carrot,food,tiny,0.03,17,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
15,age,positive,tomato,food,fresh,0.06,18,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
16,shape,positive,fan,furniture,round,0.98,19,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
17,texture,negative,tomato,food,hard,0.02,20,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
18,color,positive,chair,furniture,brown,0.96,21,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
19,size,negative,cheese,food,short,0.37,22,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
20,color,negative,TV,furniture,blue,0.92,23,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
21,age,negative,cheese,food,rotten,0.06,24,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
22,color,negative,couch,furniture,purple,0.94,25,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
23,color,negative,banana,food,red,0.17,26,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
24,texture,negative,cheese,food,smooth,0.32,27,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
25,shape,positive,desk,furniture,square,0.93,28,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
26,pattern,negative,apple,food,dotted,0.96,29,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
27,pattern,positive,banana,food,checkered,0.97,30,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
28,pattern,negative,chair,furniture,striped,0.97,31,עברית,31,Male,Chrome,Windows,720,1280,12.860366666666666,8,Yes
